specI_cluster	ref-mOTU_v2_ID	kingdom	phylum	class	order	family	genus	mOTU
specI_v3_06167	ref_mOTU_v25_06167	2157 Archaea	28890 Euryarchaeota	183925 Methanobacteria	2158 Methanobacteriales	2159 Methanobacteriaceae	2172 Methanobrevibacter	294671 Methanobrevibacter olleyae
specI_v3_04775	ref_mOTU_v25_04775	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85011 Streptomycetales	2062 Streptomycetaceae	1883 Streptomyces	1576605 Streptomyces sp. 150FB
specI_v3_08001	ref_mOTU_v25_08001	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	351094 Paucisalibacillus	1347087 Paucisalibacillus sp. EB02
specI_v3_09674	ref_mOTU_v25_09674	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	1798535 candidate division Kazan bacterium RBG_13_50_9
specI_v3_06374	ref_mOTU_v25_06374	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	1541818 Sedimentitalea	999627 Sedimentitalea nanhaiensis
specI_v3_01382	ref_mOTU_v25_01382	2 Bacteria	203691 Spirochaetes	203692 Spirochaetia	1643688 Leptospirales	170 Leptospiraceae	171 Leptospira	447106 Leptospira licerasiae
specI_v3_04590	ref_mOTU_v25_04590	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186822 Paenibacillaceae	44249 Paenibacillus	1761874 Paenibacillus sp. 453mf
specI_v3_03184	ref_mOTU_v25_03184	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	1762 Mycobacteriaceae	1866885 Mycolicibacterium	1772 Mycolicibacterium smegmatis
specI_v3_08106	ref_mOTU_v25_08106	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85021 Intrasporangiaceae	136099 Knoellia	136100 Knoellia sinensis
specI_v3_08933	ref_mOTU_v25_08933	2 Bacteria	221216 Candidatus Parcubacteria	NA Candidatus Parcubacteria class incertae sedis	NA Candidatus Parcubacteria order incertae sedis	NA Candidatus Parcubacteria fam. incertae sedis	NA Candidatus Parcubacteria gen. incertae sedis	1662109 Parcubacteria bacterium GBS-2
specI_v3_00469	ref_mOTU_v25_00469	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	NA Burkholderiales fam. incertae sedis	212743 Rhizobacter	1736528 Rhizobacter sp. Root404
specI_v3_04209	ref_mOTU_v25_04209	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186822 Paenibacillaceae	44249 Paenibacillus	512399 Paenibacillus pectinilyticus
specI_v3_06415	ref_mOTU_v25_06415	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85011 Streptomycetales	2062 Streptomycetaceae	1883 Streptomyces	67373 Streptomyces varsoviensis
specI_v3_06764	ref_mOTU_v25_06764	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1329200 Fictibacillus	225985 Fictibacillus gelatini
specI_v3_10162	ref_mOTU_v25_10162	2 Bacteria	203682 Planctomycetes	666505 Phycisphaerae	NA Phycisphaerae order incertae sedis	NA Phycisphaerae fam. incertae sedis	NA Phycisphaerae gen. incertae sedis	1851148 Phycisphaerae bacterium SM-Chi-D1
specI_v3_06954	ref_mOTU_v25_06954	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	45401 Hyphomicrobiaceae	623276 Maritalea	454601 Maritalea myrionectae
specI_v3_04635	ref_mOTU_v25_04635	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	41294 Bradyrhizobiaceae	85413 Bosea	506668 Bosea sp. BIWAKO-01
specI_v3_01730	ref_mOTU_v25_01730	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135614 Xanthomonadales	32033 Xanthomonadaceae	338 Xanthomonas	56460 Xanthomonas vesicatoria
specI_v3_06428	ref_mOTU_v25_06428	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	186828 Carnobacteriaceae	1470540 Jeotgalibaca	708126 Jeotgalibaca dankookensis
specI_v3_08747	ref_mOTU_v25_08747	2 Bacteria	NA Bacteria phylum incertae sedis	NA Bacteria class incertae sedis	NA Bacteria order incertae sedis	NA Bacteria fam. incertae sedis	NA Bacteria gen. incertae sedis	1618825 Parcubacteria group bacterium GW2011_GWA2_43_11
specI_v3_06521	ref_mOTU_v25_06521	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890424 Synechococcales	1890438 Leptolyngbyaceae	47251 Leptolyngbya	102129 Leptolyngbya sp. PCC 7375
specI_v3_03559	ref_mOTU_v25_03559	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	143222 Salegentibacter	447422 Salegentibacter salinarum
specI_v3_09772	ref_mOTU_v25_09772	2 Bacteria	203682 Planctomycetes	NA Planctomycetes class incertae sedis	NA Planctomycetes order incertae sedis	NA Planctomycetes fam. incertae sedis	NA Planctomycetes gen. incertae sedis	1801958 Planctomycetes bacterium GWF2_42_9
specI_v3_01479	ref_mOTU_v25_01479	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	119060 Burkholderiaceae	1827195 Caballeronia	1777144 Caballeronia ptereochthonis
specI_v3_12100	ref_mOTU_v25_12100	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	246874 Cryomorphaceae	267986 Owenweeksia	253245 Owenweeksia hongkongensis
specI_v3_10993	ref_mOTU_v25_10993	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	1643683 Acidothermales	85032 Acidothermaceae	28048 Acidothermus	28049 Acidothermus cellulolyticus
specI_v3_04422	ref_mOTU_v25_04422	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	33958 Lactobacillaceae	1578 Lactobacillus	1606 Lactobacillus aviarius
specI_v3_10852	ref_mOTU_v25_10852	2 Bacteria	976 Bacteroidetes	200643 Bacteroidia	171549 Bacteroidales	171551 Porphyromonadaceae	836 Porphyromonas	29524 Porphyromonas circumdentaria
specI_v3_09476	ref_mOTU_v25_09476	2 Bacteria	976 Bacteroidetes	NA Bacteroidetes class incertae sedis	NA Bacteroidetes order incertae sedis	NA Bacteroidetes fam. incertae sedis	NA Bacteroidetes gen. incertae sedis	1797316 Bacteroidetes bacterium GWA2_32_17
specI_v3_11530	ref_mOTU_v25_11530	2157 Archaea	28890 Euryarchaeota	183939 Methanococci	2182 Methanococcales	196117 Methanocaldococcaceae	196118 Methanocaldococcus	67760 Methanocaldococcus infernus
specI_v3_03333	ref_mOTU_v25_03333	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135618 Methylococcales	403 Methylococcaceae	413 Methylococcus	414 Methylococcus capsulatus
specI_v3_03018	ref_mOTU_v25_03018	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85023 Microbacteriaceae	33882 Microbacterium	82380 Microbacterium oxydans
specI_v3_03386	ref_mOTU_v25_03386	2157 Archaea	28890 Euryarchaeota	183963 Halobacteria	1644060 Natrialbales	1644061 Natrialbaceae	121871 Haloterrigena	504937 Haloterrigena salina
specI_v3_10517	ref_mOTU_v25_10517	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135619 Oceanospirillales	28256 Halomonadaceae	404432 Salinicola	1928762 Salinicola sp. MH3R3-1
specI_v3_09487	ref_mOTU_v25_09487	2 Bacteria	1224 Proteobacteria	1553900 Oligoflexia	213481 Bdellovibrionales	NA Bdellovibrionales fam. incertae sedis	NA Bdellovibrionales gen. incertae sedis	1797384 Bdellovibrionales bacterium GWA2_49_15
specI_v3_06535	ref_mOTU_v25_06535	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186822 Paenibacillaceae	44249 Paenibacillus	1465766 Paenibacillus senegalensis
specI_v3_11906	ref_mOTU_v25_11906	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	358023 Lutibacter	762486 Lutibacter oricola
specI_v3_01192	ref_mOTU_v25_01192	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	41294 Bradyrhizobiaceae	374 Bradyrhizobium	574934 Bradyrhizobium sp. AT1
specI_v3_03748	ref_mOTU_v25_03748	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	33958 Lactobacillaceae	1578 Lactobacillus	267633 Lactobacillus hammesii
specI_v3_04303	ref_mOTU_v25_04303	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	NA Bacillales fam. incertae sedis	1378 Gemella	84135 Gemella sanguinis
specI_v3_07132	ref_mOTU_v25_07132	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72273 Thiotrichales	135616 Piscirickettsiaceae	2039723 Thiomicrorhabdus	1123518 Thiomicrorhabdus sp. Kp2
specI_v3_06776	ref_mOTU_v25_06776	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	204456 Gemmobacter	220343 Gemmobacter nectariphilus
specI_v3_10278	ref_mOTU_v25_10278	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	32003 Nitrosomonadales	206379 Nitrosomonadaceae	914 Nitrosomonas	1881054 Nitrosomonas sp. Nm166
specI_v3_11487	ref_mOTU_v25_11487	2 Bacteria	976 Bacteroidetes	117747 Sphingobacteriia	200666 Sphingobacteriales	84566 Sphingobacteriaceae	28453 Sphingobacterium	561061 Sphingobacterium psychroaquaticum
specI_v3_08019	ref_mOTU_v25_08019	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	41297 Sphingomonadaceae	165696 Novosphingobium	1348853 Novosphingobium malaysiense
specI_v3_07122	ref_mOTU_v25_07122	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135623 Vibrionales	641 Vibrionaceae	662 Vibrio	335972 Vibrio litoralis
specI_v3_04762	ref_mOTU_v25_04762	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	1042322 Demequinaceae	577469 Demequina	1570344 Demequina sp. NBRC 110055
specI_v3_04045	ref_mOTU_v25_04045	2 Bacteria	32066 Fusobacteria	203490 Fusobacteriia	203491 Fusobacteriales	203492 Fusobacteriaceae	180162 Cetobacterium	188913 Cetobacterium somerae
specI_v3_09954	ref_mOTU_v25_09954	2 Bacteria	67812 Candidatus Omnitrophica	NA Candidatus Omnitrophica class incertae sedis	NA Candidatus Omnitrophica order incertae sedis	NA Candidatus Omnitrophica fam. incertae sedis	NA Candidatus Omnitrophica gen. incertae sedis	1805290 Candidatus Omnitrophica bacterium CG1_02_49_16
specI_v3_11559	ref_mOTU_v25_11559	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	41297 Sphingomonadaceae	541 Zymomonas	542 Zymomonas mobilis
specI_v3_06056	ref_mOTU_v25_06056	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	2037 Actinomycetales	2049 Actinomycetaceae	76833 Actinobaculum	202789 Actinobaculum massiliense
specI_v3_09876	ref_mOTU_v25_09876	2 Bacteria	57723 Acidobacteria	NA Acidobacteria class incertae sedis	NA Acidobacteria order incertae sedis	NA Acidobacteria fam. incertae sedis	NA Acidobacteria gen. incertae sedis	1803434 Acidobacteria bacterium 13_1_20CM_4_56_7
specI_v3_04188	ref_mOTU_v25_04188	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	1762 Mycobacteriaceae	1073531 Mycolicibacter	1792835 Mycolicibacter icosiumassiliensis
specI_v3_08023	ref_mOTU_v25_08023	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	80864 Comamonadaceae	281915 Curvibacter	80879 Curvibacter delicatus
specI_v3_08298	ref_mOTU_v25_08298	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1433999 Domibacillus	1437523 Domibacillus indicus
specI_v3_10916	ref_mOTU_v25_10916	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	80864 Comamonadaceae	12916 Acidovorax	32040 Acidovorax konjaci
specI_v3_01742	ref_mOTU_v25_01742	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	237 Flavobacterium	229204 Flavobacterium frigoris
specI_v3_10777	ref_mOTU_v25_10777	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	32003 Nitrosomonadales	32011 Methylophilaceae	404 Methylobacillus	405 Methylobacillus flagellatus
specI_v3_02201	ref_mOTU_v25_02201	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	1653 Corynebacteriaceae	1716 Corynebacterium	43769 Corynebacterium propinquum
specI_v3_09398	ref_mOTU_v25_09398	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	543 Enterobacteriaceae	1906657 Candidatus Doolittlea	1778262 Candidatus Doolittlea endobia
specI_v3_12207	ref_mOTU_v25_12207	2157 Archaea	28890 Euryarchaeota	224756 Methanomicrobia	94695 Methanosarcinales	143067 Methanosaetaceae	2222 Methanothrix	2223 Methanothrix soehngenii
specI_v3_11194	ref_mOTU_v25_11194	2 Bacteria	200783 Aquificae	187857 Aquificae	32069 Aquificales	224027 Hydrogenothermaceae	212790 Sulfurihydrogenibium	436114 Sulfurihydrogenibium sp. YO3AOP1
specI_v3_00730	ref_mOTU_v25_00730	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85008 Micromonosporales	28056 Micromonosporaceae	1873 Micromonospora	1415541 Micromonospora sp. NRRL B-16802
specI_v3_04272	ref_mOTU_v25_04272	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	28250 Ornithobacterium	28251 Ornithobacterium rhinotracheale
specI_v3_08683	ref_mOTU_v25_08683	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	80864 Comamonadaceae	198705 Lampropedia	1610491 Lampropedia cohaerens
specI_v3_09461	ref_mOTU_v25_09461	2 Bacteria	1752736 Candidatus Adlerbacteria	NA Candidatus Adlerbacteria class incertae sedis	NA Candidatus Adlerbacteria order incertae sedis	NA Candidatus Adlerbacteria fam. incertae sedis	NA Candidatus Adlerbacteria gen. incertae sedis	1797240 Candidatus Adlerbacteria bacterium RIFCSPHIGHO2_02_FULL_52_17
specI_v3_12104	ref_mOTU_v25_12104	2 Bacteria	200795 Chloroflexi	292625 Anaerolineae	292629 Anaerolineales	292628 Anaerolineaceae	233189 Anaerolinea	167964 Anaerolinea thermophila
specI_v3_03842	ref_mOTU_v25_03842	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	90964 Staphylococcaceae	1279 Staphylococcus	985762 Staphylococcus agnetis
specI_v3_05372	ref_mOTU_v25_05372	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85023 Microbacteriaceae	518733 Microterricola	412690 Microterricola viridarii
specI_v3_02360	ref_mOTU_v25_02360	2 Bacteria	1239 Firmicutes	909932 Negativicutes	909929 Selenomonadales	1843490 Sporomusaceae	365348 Pelosinus	380084 Pelosinus propionicus
specI_v3_08663	ref_mOTU_v25_08663	2157 Archaea	651137 Thaumarchaeota	NA Thaumarchaeota class incertae sedis	NA Thaumarchaeota order incertae sedis	NA Thaumarchaeota fam. incertae sedis	1825023 Candidatus Nitrosotenuis	1603555 Candidatus Nitrosotenuis cloacae
specI_v3_03829	ref_mOTU_v25_03829	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85010 Pseudonocardiales	2070 Pseudonocardiaceae	165301 Lentzea	65499 Lentzea albida
specI_v3_11512	ref_mOTU_v25_11512	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	41297 Sphingomonadaceae	165695 Sphingobium	570446 Sphingobium faniae
specI_v3_10631	ref_mOTU_v25_10631	2 Bacteria	1224 Proteobacteria	28221 Deltaproteobacteria	213118 Desulfobacterales	213119 Desulfobacteraceae	NA Desulfobacteraceae gen. incertae sedis	1971627 Desulfobacteraceae bacterium 4572_35.1
specI_v3_04284	ref_mOTU_v25_04284	2157 Archaea	28890 Euryarchaeota	183963 Halobacteria	2235 Halobacteriales	2236 Halobacteriaceae	2239 Halobacterium	1407499 Halobacterium hubeiense
specI_v3_10953	ref_mOTU_v25_10953	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186818 Planococcaceae	1569 Sporosarcina	334735 Sporosarcina koreensis
specI_v3_06943	ref_mOTU_v25_06943	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85012 Streptosporangiales	83676 Nocardiopsaceae	647960 Marinactinospora	531310 Marinactinospora thermotolerans
specI_v3_07238	ref_mOTU_v25_07238	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135619 Oceanospirillales	28256 Halomonadaceae	2745 Halomonas	1166948 Halomonas xinjiangensis
specI_v3_02234	ref_mOTU_v25_02234	2 Bacteria	201174 Actinobacteria	84998 Coriobacteriia	1643822 Eggerthellales	1643826 Eggerthellaceae	580024 Enterorhabdus	671266 Enterorhabdus caecimuris
specI_v3_09596	ref_mOTU_v25_09596	2 Bacteria	74152 Elusimicrobia	NA Elusimicrobia class incertae sedis	NA Elusimicrobia order incertae sedis	NA Elusimicrobia fam. incertae sedis	NA Elusimicrobia gen. incertae sedis	1797952 Elusimicrobia bacterium RIFCSPLOWO2_12_FULL_59_9
specI_v3_11213	ref_mOTU_v25_11213	2157 Archaea	28889 Crenarchaeota	183924 Thermoprotei	2266 Thermoproteales	2267 Thermoproteaceae	2276 Pyrobaculum	70771 Pyrobaculum neutrophilum
specI_v3_11245	ref_mOTU_v25_11245	2157 Archaea	28889 Crenarchaeota	183924 Thermoprotei	114380 Desulfurococcales	2272 Desulfurococcaceae	54258 Ignicoccus	160233 Ignicoccus hospitalis
specI_v3_07067	ref_mOTU_v25_07067	2 Bacteria	976 Bacteroidetes	768503 Cytophagia	768507 Cytophagales	89373 Cytophagaceae	107 Spirosoma	431553 Spirosoma luteum
specI_v3_06787	ref_mOTU_v25_06787	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	31979 Clostridiaceae	1485 Clostridium	349931 Clostridium cavendishii
specI_v3_08734	ref_mOTU_v25_08734	2 Bacteria	1752722 Candidatus Woesebacteria	NA Candidatus Woesebacteria class incertae sedis	NA Candidatus Woesebacteria order incertae sedis	NA Candidatus Woesebacteria fam. incertae sedis	NA Candidatus Woesebacteria gen. incertae sedis	1618570 Candidatus Woesebacteria bacterium GW2011_GWB1_38_8
specI_v3_07292	ref_mOTU_v25_07292	2157 Archaea	28890 Euryarchaeota	183963 Halobacteria	1644060 Natrialbales	1644061 Natrialbaceae	88723 Natrinema	1186196 Natrinema salaciae
specI_v3_09111	ref_mOTU_v25_09111	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	NA Gammaproteobacteria gen. incertae sedis	1703405 Gammaproteobacteria bacterium SG8_31
specI_v3_11021	ref_mOTU_v25_11021	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	85023 Microbacteriaceae	33882 Microbacterium	36805 Microbacterium aurum
specI_v3_10085	ref_mOTU_v25_10085	2 Bacteria	1224 Proteobacteria	NA Proteobacteria class incertae sedis	NA Proteobacteria order incertae sedis	NA Proteobacteria fam. incertae sedis	NA Proteobacteria gen. incertae sedis	1827382 Proteobacteria bacterium SG_bin5
specI_v3_00743	ref_mOTU_v25_00743	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85008 Micromonosporales	28056 Micromonosporaceae	1873 Micromonospora	1718947 Micromonospora sp. CB01531
specI_v3_04609	ref_mOTU_v25_04609	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	82115 Rhizobiaceae	379 Rhizobium	410764 Rhizobium multihospitium
specI_v3_07460	ref_mOTU_v25_07460	2 Bacteria	976 Bacteroidetes	768503 Cytophagia	768507 Cytophagales	1853232 Hymenobacteraceae	89966 Hymenobacter	1446467 Hymenobacter swuensis
specI_v3_06891	ref_mOTU_v25_06891	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	85026 Gordoniaceae	2053 Gordonia	376351 Gordonia shandongensis
specI_v3_10035	ref_mOTU_v25_10035	2 Bacteria	976 Bacteroidetes	1853228 Chitinophagia	1853229 Chitinophagales	563835 Chitinophagaceae	1004301 Flavihumibacter	1812911 Flavihumibacter sp. CACIAM 22H1
specI_v3_07152	ref_mOTU_v25_07152	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	237 Flavobacterium	1128970 Flavobacterium noncentrifugens
specI_v3_02256	ref_mOTU_v25_02256	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	237 Flavobacterium	503361 Flavobacterium sasangense
specI_v3_00104	ref_mOTU_v25_00104	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	543 Enterobacteriaceae	570 Klebsiella	1681196 Klebsiella sp. RIT-PI-d
specI_v3_08257	ref_mOTU_v25_08257	2 Bacteria	1239 Firmicutes	91061 Bacilli	186826 Lactobacillales	33958 Lactobacillaceae	1578 Lactobacillus	293371 Lactobacillus oligofermentans
specI_v3_01275	ref_mOTU_v25_01275	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	1762 Mycobacteriaceae	1763 Mycobacterium	339268 Mycobacterium colombiense
specI_v3_02522	ref_mOTU_v25_02522	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	2037 Actinomycetales	2049 Actinomycetaceae	1654 Actinomyces	461393 Actinomyces massiliensis
specI_v3_08057	ref_mOTU_v25_08057	2 Bacteria	1239 Firmicutes	NA Firmicutes class incertae sedis	NA Firmicutes order incertae sedis	NA Firmicutes fam. incertae sedis	NA Firmicutes gen. incertae sedis	1378168 Firmicutes bacterium ASF500
specI_v3_10572	ref_mOTU_v25_10572	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204457 Sphingomonadales	41297 Sphingomonadaceae	13687 Sphingomonas	1938607 Sphingomonas sp. LM7
specI_v3_01184	ref_mOTU_v25_01184	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	41294 Bradyrhizobiaceae	374 Bradyrhizobium	1855321 Bradyrhizobium sp. Rc2d
specI_v3_10450	ref_mOTU_v25_10450	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135625 Pasteurellales	712 Pasteurellaceae	1960084 Rodentibacter	1908264 Rodentibacter genomosp. 1
specI_v3_10209	ref_mOTU_v25_10209	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	237 Flavobacterium	1860086 Flavobacterium sp. MedPE-SWcel
specI_v3_11095	ref_mOTU_v25_11095	2 Bacteria	1239 Firmicutes	186801 Clostridia	186802 Clostridiales	186806 Eubacteriaceae	1730 Eubacterium	39495 Eubacterium uniforme
specI_v3_02685	ref_mOTU_v25_02685	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85006 Micrococcales	1268 Micrococcaceae	1663 Arthrobacter	1761746 Arthrobacter sp. ok909
specI_v3_07012	ref_mOTU_v25_07012	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85009 Propionibacteriales	31957 Propionibacteriaceae	1743 Propionibacterium	556499 Propionibacterium acidifaciens
specI_v3_01573	ref_mOTU_v25_01573	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135619 Oceanospirillales	28256 Halomonadaceae	2745 Halomonas	1635257 Halomonas sp. 54_146
specI_v3_06674	ref_mOTU_v25_06674	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	112008 Ignatzschineria	112009 Ignatzschineria larvae
specI_v3_08563	ref_mOTU_v25_08563	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72293 Helicobacteraceae	209 Helicobacter	1548018 Helicobacter saguini
specI_v3_04617	ref_mOTU_v25_04617	2 Bacteria	1117 Cyanobacteria	NA Cyanobacteria class incertae sedis	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
specI_v3_00211	ref_mOTU_v25_00211	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	135621 Pseudomonadaceae	286 Pseudomonas	440512 Pseudomonas sp. Chol1
specI_v3_10036	ref_mOTU_v25_10036	2 Bacteria	1224 Proteobacteria	29547 Epsilonproteobacteria	213849 Campylobacterales	72294 Campylobacteraceae	194 Campylobacter	1813019 Campylobacter hepaticus
specI_v3_11887	ref_mOTU_v25_11887	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	286104 Winogradskyella	754409 Winogradskyella sp. PG-2
specI_v3_00983	ref_mOTU_v25_00983	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	206351 Neisseriales	481 Neisseriaceae	482 Neisseria	607711 Neisseria wadsworthii
specI_v3_01069	ref_mOTU_v25_01069	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135625 Pasteurellales	712 Pasteurellaceae	724 Haemophilus	249188 Haemophilus pittmaniae
specI_v3_10077	ref_mOTU_v25_10077	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1386 Bacillus	1821260 Bacillus marinisedimentorum
specI_v3_09637	ref_mOTU_v25_09637	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	NA Gammaproteobacteria order incertae sedis	NA Gammaproteobacteria fam. incertae sedis	NA Gammaproteobacteria gen. incertae sedis	1798300 Gammaproteobacteria bacterium RIFCSPLOWO2_02_FULL_61_13
specI_v3_07022	ref_mOTU_v25_07022	2 Bacteria	32066 Fusobacteria	203490 Fusobacteriia	203491 Fusobacteriales	203492 Fusobacteriaceae	623282 Psychrilyobacter	271091 Psychrilyobacter atlanticus
specI_v3_07368	ref_mOTU_v25_07368	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	1762 Mycobacteriaceae	1866885 Mycolicibacterium	53462 Mycolicibacterium mageritense
specI_v3_04451	ref_mOTU_v25_04451	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85004 Bifidobacteriales	31953 Bifidobacteriaceae	1678 Bifidobacterium	762210 Bifidobacterium saguini
specI_v3_03776	ref_mOTU_v25_03776	2 Bacteria	1224 Proteobacteria	28216 Betaproteobacteria	80840 Burkholderiales	80864 Comamonadaceae	12916 Acidovorax	1276756 Acidovorax sp. JHL-9
specI_v3_04144	ref_mOTU_v25_04144	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903414 Morganellaceae	586 Providencia	333962 Providencia heimbachae
