study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
PRJEB32631	ERP115334	SAMEA5616778	ERS3420960	ERX3428848	ERR3405196	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405196/ERR3405196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405196/ERR3405196_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405196/21673#40.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405196/21673#40.bam.bai		
PRJEB32631	ERP115334	SAMEA5617648	ERS3421737	ERX3428850	ERR3405198	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405198/ERR3405198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405198/ERR3405198_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405198/21673#42.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405198/21673#42.bam.bai		
PRJEB32631	ERP115334	SAMEA5617649	ERS3421738	ERX3428851	ERR3405199	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405199/ERR3405199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405199/ERR3405199_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405199/21673#43.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405199/21673#43.bam.bai		
PRJEB32631	ERP115334	SAMEA5617746	ERS3421835	ERX3428856	ERR3405204	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405204/ERR3405204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405204/ERR3405204_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405204/21673#48.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405204/21673#48.bam.bai		
PRJEB32631	ERP115334	SAMEA5617777	ERS3421866	ERX3428862	ERR3405210	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405210/ERR3405210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405210/ERR3405210_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405210/21673#54.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405210/21673#54.bam.bai		
PRJEB32631	ERP115334	SAMEA5617792	ERS3421881	ERX3428865	ERR3405213	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405213/ERR3405213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405213/ERR3405213_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405213/21673#57.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405213/21673#57.bam.bai		
PRJEB32631	ERP115334	SAMEA5617793	ERS3421882	ERX3428866	ERR3405214	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405214/ERR3405214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405214/ERR3405214_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405214/21673#58.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405214/21673#58.bam.bai		
PRJEB32631	ERP115334	SAMEA5618368	ERS3422456	ERX3428871	ERR3405219	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405219/ERR3405219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405219/ERR3405219_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405219/21673#63.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405219/21673#63.bam.bai		
PRJEB32631	ERP115334	SAMEA5618371	ERS3422459	ERX3428873	ERR3405221	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405221/ERR3405221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405221/ERR3405221_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405221/21673#65.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405221/21673#65.bam.bai		
PRJEB32631	ERP115334	SAMEA5618372	ERS3422460	ERX3428874	ERR3405222	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405222/ERR3405222_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405222/ERR3405222_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405222/21673#66.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405222/21673#66.bam.bai		
PRJEB32631	ERP115334	SAMEA5618409	ERS3422497	ERX3428880	ERR3405228	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405228/ERR3405228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405228/ERR3405228_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405228/21673#72.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405228/21673#72.bam.bai		
PRJEB32631	ERP115334	SAMEA5616770	ERS3420952	ERX3428881	ERR3405229	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405229/ERR3405229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405229/ERR3405229_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405229/21842#1.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405229/21842#1.bam.bai		
PRJEB32631	ERP115334	SAMEA5616771	ERS3420953	ERX3428882	ERR3405230	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405230/ERR3405230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405230/ERR3405230_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405230/21842#2.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405230/21842#2.bam.bai		
PRJEB32631	ERP115334	SAMEA5616772	ERS3420954	ERX3428883	ERR3405231	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405231/ERR3405231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405231/ERR3405231_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405231/21842#3.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405231/21842#3.bam.bai		
PRJEB32631	ERP115334	SAMEA5616789	ERS3420971	ERX3428885	ERR3405233	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405233/ERR3405233_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405233/ERR3405233_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405233/21842_1#5.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405233/21842_1#5.bam.bai		
PRJEB32631	ERP115334	SAMEA5616798	ERS3420980	ERX3428889	ERR3405237	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405237/ERR3405237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405237/ERR3405237_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405237/21842_1#9.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405237/21842_1#9.bam.bai		
PRJEB32631	ERP115334	SAMEA5616810	ERS3420992	ERX3428894	ERR3405242	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405242/ERR3405242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405242/ERR3405242_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405242/21842_1#14.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405242/21842_1#14.bam.bai		
PRJEB32631	ERP115334	SAMEA5616811	ERS3420993	ERX3428895	ERR3405243	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405243/ERR3405243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405243/ERR3405243_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405243/21842_1#15.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405243/21842_1#15.bam.bai		
PRJEB32631	ERP115334	SAMEA5616814	ERS3420996	ERX3428898	ERR3405246	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405246/ERR3405246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405246/ERR3405246_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405246/21842_1#18.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405246/21842_1#18.bam.bai		
PRJEB32631	ERP115334	SAMEA5616820	ERS3421002	ERX3428900	ERR3405248	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405248/ERR3405248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405248/ERR3405248_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405248/21842_1#20.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405248/21842_1#20.bam.bai		
PRJEB32631	ERP115334	SAMEA5616825	ERS3421007	ERX3428904	ERR3405252	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405252/ERR3405252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405252/ERR3405252_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405252/21842_1#24.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405252/21842_1#24.bam.bai		
PRJEB32631	ERP115334	SAMEA5616826	ERS3421008	ERX3428905	ERR3405253	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405253/ERR3405253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405253/ERR3405253_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405253/21842_2#1.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405253/21842_2#1.bam.bai		
PRJEB32631	ERP115334	SAMEA5616830	ERS3421012	ERX3428909	ERR3405257	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405257/ERR3405257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405257/ERR3405257_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405257/21842_2#5.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405257/21842_2#5.bam.bai		
PRJEB32631	ERP115334	SAMEA5616831	ERS3421013	ERX3428910	ERR3405258	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405258/ERR3405258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405258/ERR3405258_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405258/21842_2#6.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405258/21842_2#6.bam.bai		
PRJEB32631	ERP115334	SAMEA5616873	ERS3421055	ERX3428913	ERR3405261	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405261/ERR3405261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405261/ERR3405261_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405261/21842_2#9.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405261/21842_2#9.bam.bai		
PRJEB32631	ERP115334	SAMEA5617807	ERS3421896	ERX3428916	ERR3405264	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405264/ERR3405264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405264/ERR3405264_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405264/21842_2#12.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405264/21842_2#12.bam.bai		
PRJEB32631	ERP115334	SAMEA5617853	ERS3421942	ERX3428920	ERR3405268	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405268/ERR3405268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405268/ERR3405268_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405268/21842_2#16.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405268/21842_2#16.bam.bai		
PRJEB32631	ERP115334	SAMEA5617854	ERS3421943	ERX3428921	ERR3405269	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405269/ERR3405269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405269/ERR3405269_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405269/21842_2#17.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405269/21842_2#17.bam.bai		
PRJEB32631	ERP115334	SAMEA5617865	ERS3421954	ERX3428924	ERR3405272	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405272/ERR3405272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405272/ERR3405272_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405272/21842_2#20.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405272/21842_2#20.bam.bai		
PRJEB32631	ERP115334	SAMEA5617866	ERS3421955	ERX3428925	ERR3405273	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405273/ERR3405273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405273/ERR3405273_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405273/21842_2#21.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405273/21842_2#21.bam.bai		
PRJEB32631	ERP115334	SAMEA5617869	ERS3421958	ERX3428927	ERR3405275	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3405275/ERR3405275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3405275/ERR3405275_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405275/21842_2#23.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405275/21842_2#23.bam.bai		
PRJEB32631	ERP115334	SAMEA5617874	ERS3421963	ERX3428929	ERR3405277	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405277/ERR3405277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405277/ERR3405277_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405277/21842_3#1.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405277/21842_3#1.bam.bai		
PRJEB32631	ERP115334	SAMEA5617889	ERS3421978	ERX3428933	ERR3405281	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405281/ERR3405281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405281/ERR3405281_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405281/21842_3#5.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405281/21842_3#5.bam.bai		
PRJEB32631	ERP115334	SAMEA5617886	ERS3421975	ERX3428940	ERR3405288	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405288/ERR3405288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405288/ERR3405288_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405288/21842_3#12.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405288/21842_3#12.bam.bai		
PRJEB32631	ERP115334	SAMEA5617920	ERS3422008	ERX3428947	ERR3405295	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3405295/ERR3405295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3405295/ERR3405295_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405295/21842_3#19.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405295/21842_3#19.bam.bai		
PRJEB32631	ERP115334	SAMEA5618416	ERS3422504	ERX3428954	ERR3405302	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405302/ERR3405302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/002/ERR3405302/ERR3405302_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405302/21842_4#2.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405302/21842_4#2.bam.bai		
PRJEB32631	ERP115334	SAMEA5618434	ERS3422522	ERX3428962	ERR3405310	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405310/ERR3405310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405310/ERR3405310_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405310/21842_4#10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405310/21842_4#10.bam.bai		
PRJEB32631	ERP115334	SAMEA5618442	ERS3422530	ERX3428965	ERR3405313	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405313/ERR3405313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405313/ERR3405313_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405313/21842_4#13.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405313/21842_4#13.bam.bai		
PRJEB32631	ERP115334	SAMEA5618470	ERS3422558	ERX3428968	ERR3405316	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405316/ERR3405316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405316/ERR3405316_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405316/21842_4#16.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405316/21842_4#16.bam.bai		
PRJEB32631	ERP115334	SAMEA5618492	ERS3422580	ERX3428969	ERR3405317	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405317/ERR3405317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/007/ERR3405317/ERR3405317_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405317/21842_4#17.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405317/21842_4#17.bam.bai		
PRJEB32631	ERP115334	SAMEA5618512	ERS3422600	ERX3428975	ERR3405323	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405323/ERR3405323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405323/ERR3405323_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405323/21842_4#23.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405323/21842_4#23.bam.bai		
PRJEB32631	ERP115334	SAMEA5618513	ERS3422601	ERX3428976	ERR3405324	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405324/ERR3405324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405324/ERR3405324_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405324/21842_4#24.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405324/21842_4#24.bam.bai		
PRJEB32631	ERP115334	SAMEA5618457	ERS3422545	ERX3428980	ERR3405328	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405328/ERR3405328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405328/ERR3405328_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405328/21940_3#4.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405328/21940_3#4.bam.bai		
PRJEB32631	ERP115334	SAMEA5618458	ERS3422546	ERX3428981	ERR3405329	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405329/ERR3405329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405329/ERR3405329_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405329/21940_3#5.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405329/21940_3#5.bam.bai		
PRJEB32631	ERP115334	SAMEA5618443	ERS3422531	ERX3428983	ERR3405331	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405331/ERR3405331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/001/ERR3405331/ERR3405331_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405331/21940_3#7.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405331/21940_3#7.bam.bai		
PRJEB32631	ERP115334	SAMEA5617912	ERS3422001	ERX3428986	ERR3405334	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405334/ERR3405334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/004/ERR3405334/ERR3405334_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405334/21940_3#10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405334/21940_3#10.bam.bai		
PRJEB32631	ERP115334	SAMEA5617914	ERS3422003	ERX3428988	ERR3405336	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405336/ERR3405336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405336/ERR3405336_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405336/21940_3#12.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405336/21940_3#12.bam.bai		
PRJEB32631	ERP115334	SAMEA5616852	ERS3421034	ERX3428991	ERR3405339	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405339/ERR3405339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/009/ERR3405339/ERR3405339_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405339/21940_3#15.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405339/21940_3#15.bam.bai		
PRJEB32631	ERP115334	SAMEA5616847	ERS3421029	ERX3428992	ERR3405340	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405340/ERR3405340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405340/ERR3405340_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405340/21940_3#16.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405340/21940_3#16.bam.bai		
PRJEB32631	ERP115334	SAMEA5616843	ERS3421025	ERX3428997	ERR3405345	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3405345/ERR3405345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/005/ERR3405345/ERR3405345_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405345/21940_3#21.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405345/21940_3#21.bam.bai		
PRJEB32631	ERP115334	SAMEA5616837	ERS3421019	ERX3428998	ERR3405346	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405346/ERR3405346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/006/ERR3405346/ERR3405346_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405346/21940_3#22.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405346/21940_3#22.bam.bai		
PRJEB32631	ERP115334	SAMEA5616869	ERS3421051	ERX3429005	ERR3405353	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405353/ERR3405353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/003/ERR3405353/ERR3405353_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405353/21989_6#5.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405353/21989_6#5.bam.bai		
PRJEB32631	ERP115334	SAMEA5616861	ERS3421043	ERX3429010	ERR3405358	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405358/ERR3405358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/008/ERR3405358/ERR3405358_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405358/21989_6#10.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405358/21989_6#10.bam.bai		
PRJEB32631	ERP115334	SAMEA5616881	ERS3421063	ERX3429012	ERR3405360	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405360/ERR3405360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR340/000/ERR3405360/ERR3405360_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405360/21989_6#12.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR340/ERR3405360/21989_6#12.bam.bai		
