"","asv","homd"
"7415","ASV7415","Lachnospiraceae [G-2] bacterium HMT 096"
"7416","ASV7416","Dialister invisus"
"7417","ASV7417","Paenibacillus phoenicis"
"7418","ASV7418","Capnocytophaga sp. HMT 326"
"7419","ASV7419","Veillonella sp. HMT 780"
"7420","ASV7420","Capnocytophaga gingivalis"
"7421","ASV7421","Peptidiphaga sp. HMT 183"
"7422","ASV7422","Prevotella oris"
"7423","ASV7423","Campylobacter concisus"
"7424","ASV7424","Stomatobaculum sp. HMT 910"
"7425","ASV7425","Leptotrichia sp. HMT 221"
"7426","ASV7426","Selenomonas artemidis"
"7427","ASV7427","Alloprevotella sp. HMT 912"
"7428","ASV7428","Fretibacterium sp. HMT 361"
"7429","ASV7429","Prevotella loescheii"
"7430","ASV7430","Capnocytophaga sp. HMT 338"
"7431","ASV7431","Peptostreptococcaceae [XI][G-7] [Eubacterium] yurii subsp. schtitka"
"7432","ASV7432","Arachnia rubra"
"7433","ASV7433","Veillonella rogosae"
"7434","ASV7434","Gracilibacteria (GN02) [G-1] bacterium HMT 872"
"7435","ASV7435","Tannerella sp. HMT 916"
"7436","ASV7436","Johnsonella sp. HMT 166"
"7437","ASV7437","Butyrivibrio sp. HMT 090"
"7438","ASV7438","Butyrivibrio sp. HMT 090"
"7439","ASV7439","Stomatobaculum sp. HMT 910"
"7440","ASV7440","Streptococcus salivarius"
"7441","ASV7441","Catonella morbi"
"7442","ASV7442","Bifidobacterium longum"
"7443","ASV7443","Shuttleworthia satelles"
"7444","ASV7444","Veillonella parvula"
"7445","ASV7445","Saccharibacteria (TM7) [G-6] bacterium HMT 870"
"7446","ASV7446","Porphyromonas sp. HMT 930"
"7447","ASV7447","Alloprevotella sp. HMT 473"
"7448","ASV7448","Selenomonas sp. HMT 138"
"7449","ASV7449","Capnocytophaga leadbetteri"
"7450","ASV7450","Capnocytophaga gingivalis"
"7451","ASV7451","Leptotrichia sp. HMT 215"
"7452","ASV7452","Leptotrichia hofstadii"
"7453","ASV7453","Cardiobacterium hominis"
"7454","ASV7454","Peptostreptococcaceae [XI][G-7] bacterium HMT 081"
"7455","ASV7455","Ralstonia sp. HMT 406"
"7456","ASV7456","Neisseria elongata"
"7457","ASV7457","Actinomyces massiliensis"
"7458","ASV7458","Selenomonas noxia"
"7459","ASV7459","Aggregatibacter paraphrophilus"
"7460","ASV7460","Lachnoanaerobaculum saburreum"
"7461","ASV7461","Actinomyces massiliensis"
"7462","ASV7462","Veillonella denticariosi"
"7463","ASV7463","Kingella oralis"
"7464","ASV7464","Leptotrichia hongkongensis"
"7465","ASV7465","Treponema sp. HMT 262"
"7466","ASV7466","Prevotella scopos"
"7467","ASV7467","Lachnospiraceae [G-2] bacterium HMT 096"
"7468","ASV7468","Prevotella salivae"
"7469","ASV7469","Alloprevotella rava"
"7470","ASV7470","Gemella sanguinis"
"7471","ASV7471","Lachnoanaerobaculum saburreum"
"7472","ASV7472","Cardiobacterium valvarum"
"7473","ASV7473","Haemophilus parainfluenzae"
"7474","ASV7474","Oribacterium asaccharolyticum"
"7475","ASV7475","Selenomonas dianae"
"7476","ASV7476","Veillonella dispar"
"7477","ASV7477","Selenomonas flueggei"
"7478","ASV7478","Leptotrichia sp. HMT 417"
"7479","ASV7479","Atopobium parvulum"
"7480","ASV7480","Cardiobacterium valvarum"
"7481","ASV7481","Veillonellaceae [G-1] bacterium HMT 148"
"7482","ASV7482","Enterococcus italicus"
"7483","ASV7483","Bergeyella sp. HMT 900"
"7484","ASV7484","Neisseria flava"
"7485","ASV7485","Neisseria flava"
"7486","ASV7486","Porphyromonas sp. HMT 930"
"7487","ASV7487","Rothia aeria"
"7488","ASV7488","Bergeyella sp. HMT 931"
"7489","ASV7489","Actinomyces sp. HMT 175"
"7490","ASV7490","Veillonella dispar"
"7491","ASV7491","Leptotrichia sp. HMT 221"
"7492","ASV7492","Streptococcus intermedius"
"7493","ASV7493","Bergeyella sp. HMT 322"
"7494","ASV7494","Ruminococcaceae [G-2] bacterium HMT 085"
"7495","ASV7495","Prevotella micans"
"7496","ASV7496","Alloprevotella sp. HMT 912"
"7497","ASV7497","Leptotrichia buccalis"
"7498","ASV7498","Saccharibacteria (TM7) [G-1] bacterium HMT 347"
"7499","ASV7499","Leptotrichia goodfellowii"
"7500","ASV7500","Streptococcus constellatus"
"7501","ASV7501","Cryptobacterium curtum"
"7502","ASV7502","Saccharibacteria (TM7) [G-8] bacterium HMT 955"
"7503","ASV7503","Veillonella denticariosi"
"7504","ASV7504","Cardiobacterium hominis"
"7505","ASV7505","Afipia broomeae"
"7506","ASV7506","Veillonella dispar"
"7507","ASV7507","Prevotella oulorum"
"7508","ASV7508","Stomatobaculum sp. HMT 097"
"7509","ASV7509","Streptococcus oralis subsp. dentisani clade 058"
"7510","ASV7510","Lachnospiraceae [G-3] bacterium HMT 100"
"7511","ASV7511","Prevotella sp. HMT 317"
"7512","ASV7512","Prevotella nanceiensis"
"7513","ASV7513","Capnocytophaga leadbetteri"
"7514","ASV7514","Streptococcus oralis subsp. dentisani clade 058"
"7515","ASV7515","Lachnoanaerobaculum umeaense"
"7516","ASV7516","Capnocytophaga gingivalis"
"7517","ASV7517","Mogibacterium vescum"
"7518","ASV7518","Leptotrichia goodfellowii"
"7519","ASV7519","Bacteroidetes [G-3] bacterium HMT 365"
"7520","ASV7520","Peptostreptococcaceae [XI][G-4] bacterium HMT 369"
"7521","ASV7521","Alloprevotella sp. HMT 473"
"7522","ASV7522","Lachnospiraceae [G-2] bacterium HMT 088"
"7523","ASV7523","Capnocytophaga sp. HMT 335"
"7524","ASV7524","Prevotella intermedia"
"7525","ASV7525","Prevotella sp. HMT 306"
"7526","ASV7526","Porphyromonas sp. HMT 930"
"7527","ASV7527","Selenomonas artemidis"
"7528","ASV7528","Neisseria flava"
"7529","ASV7529","Arachnia propionica"
"7530","ASV7530","Veillonella dispar"
"7531","ASV7531","Rothia dentocariosa"
"7532","ASV7532","Ruminococcaceae [G-1] bacterium HMT 075"
"7533","ASV7533","Gemella sanguinis"
"7534","ASV7534","Actinomyces sp. HMT 175"
"7535","ASV7535","Gemella sanguinis"
"7536","ASV7536","Ruminococcaceae [G-1] bacterium HMT 075"
"7537","ASV7537","Lautropia mirabilis"
"7538","ASV7538","Leptotrichia sp. HMT 225"
"7539","ASV7539","Kingella sp. HMT 459"
"7540","ASV7540","Prevotella oulorum"
"7541","ASV7541","Lachnospiraceae [G-7] bacterium HMT 086"
"7542","ASV7542","Moraxella catarrhalis"
"7543","ASV7543","Prevotella sp. HMT 304"
"7544","ASV7544","Desulfovibrio sp. HMT 040"
"7545","ASV7545","Micrococcus luteus"
"7546","ASV7546","Capnocytophaga sp. HMT 332"
"7547","ASV7547","Kingella sp. HMT 012"
"7548","ASV7548","Alloprevotella rava"
"7549","ASV7549","Parvimonas sp. HMT 110"
"7550","ASV7550","Prevotella sp. HMT 292"
"7551","ASV7551","Prevotella marshii"
"7552","ASV7552","Bacteroidetes [G-7] bacterium HMT 911"
"7553","ASV7553","Lachnospiraceae [G-3] bacterium HMT 100"
"7554","ASV7554","Johnsonella ignava"
"7555","ASV7555","Bergeyella sp. HMT 319"
"7556","ASV7556","Alloprevotella tannerae"
"7557","ASV7557","Peptostreptococcaceae [XI][G-9] [Eubacterium] brachy"
"7558","ASV7558","Veillonella parvula"
"7559","ASV7559","Tannerella sp. HMT 808"
"7560","ASV7560","Selenomonas sputigena"
"7561","ASV7561","Anaeroglobus geminatus"
"7562","ASV7562","Selenomonas noxia"
"7563","ASV7563","Bacillus subtilis"
"7564","ASV7564","Granulicatella adiacens"
"7565","ASV7565","Haemophilus parainfluenzae"
"7566","ASV7566","Bifidobacterium dentium"
"7567","ASV7567","Peptococcus sp. HMT 168"
"7568","ASV7568","Saccharibacteria (TM7) [G-1] bacterium HMT 488"
"7569","ASV7569","Selenomonas artemidis"
"7570","ASV7570","Prevotella sp. HMT 317"
"7571","ASV7571","Erythromicrobium ramosum"
"7572","ASV7572","Lachnospiraceae [G-8] bacterium HMT 500"
"7573","ASV7573","Oribacterium asaccharolyticum"
"7574","ASV7574","Lachnoanaerobaculum umeaense"
"7575","ASV7575","Tannerella sp. HMT 808"
"7576","ASV7576","Capnocytophaga gingivalis"
"7577","ASV7577","Bacteroidales [G-2] bacterium HMT 274"
"7578","ASV7578","Peptostreptococcaceae [XI][G-4] bacterium HMT 369"
"7579","ASV7579","Lachnospiraceae [G-3] bacterium HMT 100"
"7580","ASV7580","Lachnoanaerobaculum saburreum"
"7581","ASV7581","Dialister invisus"
"7582","ASV7582","Alloprevotella sp. HMT 914"
"7583","ASV7583","Leptotrichia sp. HMT 212"
"7584","ASV7584","Prevotella saccharolytica"
"7585","ASV7585","Alloprevotella sp. HMT 473"
"7586","ASV7586","Leptotrichia shahii"
"7587","ASV7587","Leptotrichia wadei"
"7588","ASV7588","Pseudomonas aeruginosa"
"7589","ASV7589","Saccharibacteria (TM7) [G-1] bacterium HMT 346"
"7590","ASV7590","Alloprevotella sp. HMT 473"
"7591","ASV7591","Selenomonas noxia"
"7592","ASV7592","Acinetobacter lwoffii"
"7593","ASV7593","Micrococcus luteus"
"7594","ASV7594","Lactococcus lactis"
"7595","ASV7595","Selenomonas sp. HMT 478"
"7596","ASV7596","Selenomonas flueggei"
"7597","ASV7597","Neisseria flava"
"7598","ASV7598","Lachnospiraceae [G-2] bacterium HMT 096"
"7599","ASV7599","Gemella sanguinis"
"7600","ASV7600","Actinomyces naeslundii"
"7601","ASV7601","Ottowia sp. HMT 894"
"7602","ASV7602","Cardiobacterium valvarum"
"7603","ASV7603","Paenibacillus phoenicis"
"7604","ASV7604","Bergeyella sp. HMT 322"
"7605","ASV7605","Selenomonas artemidis"
"7606","ASV7606","Rothia aeria"
"7607","ASV7607","Streptococcus sanguinis"
"7608","ASV7608","Absconditabacteria (SR1) [G-1] bacterium HMT 874"
"7609","ASV7609","Prevotella nigrescens"
"7610","ASV7610","Ochrobactrum anthropi"
"7611","ASV7611","Pseudomonas pseudoalcaligenes"
"7612","ASV7612","Peptostreptococcaceae [XI][G-3] bacterium HMT 495"
"7613","ASV7613","Prevotella sp. HMT 306"
"7614","ASV7614","Prevotella sp. HMT 376"
"7615","ASV7615","Saccharibacteria (TM7) [G-3] bacterium HMT 351"
"7616","ASV7616","Prevotella oris"
"7617","ASV7617","Bacteroides pyogenes"
"7618","ASV7618","Klebsiella pneumoniae"
"7619","ASV7619","Saccharibacteria (TM7) [G-6] bacterium HMT 870"
"7620","ASV7620","Saccharibacteria (TM7) [G-6] bacterium HMT 870"
"7621","ASV7621","Streptococcus sp. HMT 074"
"7622","ASV7622","Alloprevotella sp. HMT 473"
"7623","ASV7623","Stomatobaculum longum"
"7624","ASV7624","Rothia aeria"
"7625","ASV7625","Scardovia wiggsiae"
"7626","ASV7626","Lachnospiraceae [G-7] bacterium HMT 086"
"7627","ASV7627","Rothia mucilaginosa"
"7628","ASV7628","Peptococcus sp. HMT 168"
"7629","ASV7629","Prevotella oris"
"7630","ASV7630","Neisseria sp. HMT 018"
"7631","ASV7631","Neisseria flava"
"7632","ASV7632","Prevotella sp. HMT 292"
"7633","ASV7633","Leptotrichia goodfellowii"
"7634","ASV7634","Capnocytophaga sputigena"
"7635","ASV7635","Campylobacter concisus"
"7636","ASV7636","Prevotella nanceiensis"
"7637","ASV7637","Veillonella dispar"
"7638","ASV7638","Selenomonas sp. HMT 138"
"7639","ASV7639","Leptotrichia goodfellowii"
"7640","ASV7640","Saccharibacteria (TM7) [G-3] bacterium HMT 351"
"7641","ASV7641","Prevotella nanceiensis"
"7642","ASV7642","Granulicatella elegans"
"7643","ASV7643","Treponema socranskii"
"7644","ASV7644","Saccharibacteria (TM7) [G-6] bacterium HMT 870"
"7645","ASV7645","Fusobacterium sp. HMT 205"
"7646","ASV7646","Veillonella dispar"
"7647","ASV7647","Solobacterium moorei"
"7648","ASV7648","Alloprevotella sp. HMT 914"
"7649","ASV7649","Bifidobacterium dentium"
"7650","ASV7650","Saccharibacteria (TM7) [G-3] bacterium HMT 351"
"7651","ASV7651","Veillonella dispar"
"7652","ASV7652","Saccharibacteria (TM7) [G-1] bacterium HMT 347"
"7653","ASV7653","Peptostreptococcaceae [XI][G-1] [Eubacterium] sulci"
"7654","ASV7654","Prevotella melaninogenica"
"7655","ASV7655","Saccharibacteria (TM7) [G-1] bacterium HMT 352"
"7656","ASV7656","Cardiobacterium hominis"
"7657","ASV7657","Selenomonas sp. HMT 138"
"7658","ASV7658","Mitsuokella sp. HMT 521"
"7659","ASV7659","Klebsiella pneumoniae"
"7660","ASV7660","Scardovia wiggsiae"
"7661","ASV7661","Solobacterium moorei"
"7662","ASV7662","Lachnospiraceae [G-3] bacterium HMT 100"
"7663","ASV7663","Saccharibacteria (TM7) [G-3] bacterium HMT 351"
"7664","ASV7664","Prevotella saccharolytica"
"7665","ASV7665","Porphyromonas uenonis"
"7666","ASV7666","Bifidobacterium animalis"
"7667","ASV7667","Alloprevotella tannerae"
"7668","ASV7668","Cardiobacterium valvarum"
"7669","ASV7669","Bergeyella sp. HMT 319"
"7670","ASV7670","Saccharibacteria (TM7) [G-1] bacterium HMT 347"
"7671","ASV7671","Fretibacterium sp. HMT 361"
"7672","ASV7672","Bulleidia extructa"
"7673","ASV7673","Atopobium parvulum"
"7674","ASV7674","Lactobacillus vaginalis"
"7675","ASV7675","Veillonella dispar"
"7676","ASV7676","Leptotrichia sp. HMT 218"
"7677","ASV7677","Veillonella parvula"
"7678","ASV7678","Prevotella nanceiensis"
"7679","ASV7679","Streptococcus salivarius"
"7680","ASV7680","Prevotella sp. HMT 475"
"7681","ASV7681","Saccharibacteria (TM7) [G-3] bacterium HMT 351"
"7682","ASV7682","Peptostreptococcaceae [XI][G-7] [Eubacterium] yurii subsp. schtitka"
"7683","ASV7683","Peptococcus sp. HMT 168"
"7684","ASV7684","Rothia mucilaginosa"
"7685","ASV7685","Lachnospiraceae [G-3] bacterium HMT 100"
"7686","ASV7686","Leptotrichia sp. HMT 221"
"7687","ASV7687","Peptostreptococcaceae [XI][G-7] [Eubacterium] yurii subsp. schtitka"
"7688","ASV7688","Lachnospiraceae [G-3] bacterium HMT 100"
"7689","ASV7689","Capnocytophaga leadbetteri"
"7690","ASV7690","Neisseria flava"
"7691","ASV7691","Granulicatella elegans"
"7692","ASV7692","Lachnospiraceae [G-2] bacterium HMT 096"
"7693","ASV7693","Clostridiales [F-3][G-1] bacterium HMT 876"
"7694","ASV7694","Leptotrichia sp. HMT 498"
"7695","ASV7695","Leptotrichia hongkongensis"
"7696","ASV7696","Bergeyella sp. HMT 322"
"7697","ASV7697","Capnocytophaga leadbetteri"
"7698","ASV7698","Porphyromonas gingivalis"
"7699","ASV7699","Veillonella parvula"
"7700","ASV7700","Prevotella oris"
"7701","ASV7701","Bacteroidetes [G-5] bacterium HMT 505"
"7702","ASV7702","Selenomonas artemidis"
"7703","ASV7703","Fusobacterium nucleatum subsp. vincentii"
"7704","ASV7704","Absconditabacteria (SR1) [G-1] bacterium HMT 874"
"7705","ASV7705","Leptotrichia hongkongensis"
"7706","ASV7706","Fusobacterium nucleatum subsp. vincentii"
"7707","ASV7707","Gemella sanguinis"
"7708","ASV7708","Streptococcus oralis subsp. dentisani clade 058"
"7709","ASV7709","Capnocytophaga sp. HMT 324"
"7710","ASV7710","Gemella sanguinis"
"7711","ASV7711","Selenomonas sp. HMT 138"
"7712","ASV7712","Lautropia mirabilis"
"7713","ASV7713","Lautropia mirabilis"
"7714","ASV7714","Capnocytophaga gingivalis"
"7715","ASV7715","Porphyromonas sp. HMT 930"
"7716","ASV7716","Saccharibacteria (TM7) [G-1] bacterium HMT 347"
"7717","ASV7717","Prevotella sp. HMT 443"
"7718","ASV7718","Selenomonas sp. HMT 138"
"7719","ASV7719","Peptostreptococcaceae [XI][G-7] [Eubacterium] yurii subsp. schtitka"
"7720","ASV7720","Prevotella oulorum"
"7721","ASV7721","Prevotella melaninogenica"
"7722","ASV7722","Capnocytophaga sp. HMT 326"
"7723","ASV7723","Prevotella nigrescens"
"7724","ASV7724","Kingella sp. HMT 459"
"7725","ASV7725","Peptostreptococcaceae [XI][G-7] [Eubacterium] yurii subsp. schtitka"
"7726","ASV7726","Lachnospiraceae [G-3] bacterium HMT 100"
"7727","ASV7727","Corynebacterium matruchotii"
"7728","ASV7728","Lachnospiraceae [G-3] bacterium HMT 100"
"7729","ASV7729","Ruminococcaceae [G-1] bacterium HMT 075"
"7730","ASV7730","Prevotella buccae"
"7731","ASV7731","Leptotrichia hofstadii"
"7732","ASV7732","Atopobium parvulum"
"7733","ASV7733","Treponema sp. HMT 231"
"7734","ASV7734","Saccharibacteria (TM7) [G-1] bacterium HMT 957"
"7735","ASV7735","Selenomonas dianae"
"7736","ASV7736","Veillonella rogosae"
"7737","ASV7737","Neisseria flava"
"7738","ASV7738","Fusobacterium sp. HMT 248"
"7739","ASV7739","Lactobacillus salivarius"
"7740","ASV7740","Capnocytophaga gingivalis"
"7741","ASV7741","Prevotella sp. HMT 300"
"7742","ASV7742","Mitsuokella sp. HMT 521"
"7743","ASV7743","Porphyromonas sp. HMT 930"
"7744","ASV7744","Selenomonas sp. HMT 138"
"7745","ASV7745","Neisseria flava"
"7746","ASV7746","Lachnoanaerobaculum umeaense"
"7747","ASV7747","Capnocytophaga sp. HMT 323"
"7748","ASV7748","Gemella sanguinis"
"7749","ASV7749","Corynebacterium durum"
"7750","ASV7750","Arachnia rubra"
"7751","ASV7751","Streptococcus oralis subsp. dentisani clade 058"
"7752","ASV7752","Leptotrichia sp. HMT 498"
"7753","ASV7753","Veillonella parvula"
"7754","ASV7754","Alloprevotella sp. HMT 912"
"7755","ASV7755","Haemophilus parainfluenzae"
"7756","ASV7756","Saccharibacteria (TM7) [G-4] bacterium HMT 355"
"7757","ASV7757","Peptostreptococcus stomatis"
"7758","ASV7758","Prevotella nigrescens"
"7759","ASV7759","Veillonella dispar"
"7760","ASV7760","Atopobium parvulum"
"7761","ASV7761","Treponema socranskii"
"7762","ASV7762","Lautropia mirabilis"
"7763","ASV7763","Alloprevotella sp. HMT 308"
"7764","ASV7764","Peptidiphaga sp. HMT 183"
"7765","ASV7765","Butyrivibrio sp. HMT 090"
"7766","ASV7766","Ochrobactrum anthropi"
"7767","ASV7767","Moraxella sp. HMT 276"
"7768","ASV7768","Veillonella dispar"
"7769","ASV7769","Neisseria flava"
"7770","ASV7770","Olsenella sp. HMT 809"
"7771","ASV7771","Prevotella saccharolytica"
"7772","ASV7772","Arachnia propionica"
"7773","ASV7773","Fretibacterium fastidiosum"
"7774","ASV7774","Prevotella oris"
"7775","ASV7775","Acidovorax ebreus"
"7776","ASV7776","Pseudomonas fluorescens"
"7777","ASV7777","Prevotella sp. HMT 317"
"7778","ASV7778","Leptotrichia sp. HMT 223"
"7779","ASV7779","Pseudomonas fluorescens"
"7780","ASV7780","Cardiobacterium hominis"
"7781","ASV7781","Leptotrichia sp. HMT 847"
"7782","ASV7782",NA
"7783","ASV7783","Dialister invisus"
"7784","ASV7784","Veillonella dispar"
"7785","ASV7785","Lactobacillus gasseri"
"7786","ASV7786","Prevotella oulorum"
"7787","ASV7787","Saccharibacteria (TM7) [G-5] bacterium HMT 356"
"7788","ASV7788","Treponema vincentii"
"7789","ASV7789","Selenomonas noxia"
"7790","ASV7790","Dialister invisus"
"7791","ASV7791","Leptotrichia sp. HMT 225"
"7792","ASV7792","Alloprevotella sp. HMT 473"
"7793","ASV7793","Prevotella sp. HMT 313"
"7794","ASV7794","Aggregatibacter sp. HMT 512"
"7795","ASV7795","Prevotella sp. HMT 317"
"7796","ASV7796","Cryptobacterium curtum"
"7797","ASV7797","Selenomonas sputigena"
"7798","ASV7798","Actinomyces naeslundii"
"7799","ASV7799","Selenomonas sp. HMT 134"
"7800","ASV7800","Capnocytophaga sp. HMT 326"
"7801","ASV7801","Veillonellaceae [G-1] bacterium HMT 150"
"7802","ASV7802","Prevotella denticola"
"7803","ASV7803","Veillonellaceae [G-1] bacterium HMT 155"
"7804","ASV7804","Actinomyces sp. HMT 175"
"7805","ASV7805","Actinomyces viscosus"
"7806","ASV7806","Campylobacter concisus"
"7807","ASV7807","Prevotella sp. HMT 292"
"7808","ASV7808","Arachnia propionica"
"7809","ASV7809","Prevotella oulorum"
"7810","ASV7810","Prevotella oris"
"7811","ASV7811","Veillonella dispar"
"7812","ASV7812","Aggregatibacter paraphrophilus"
"7813","ASV7813","Prevotella oralis"
"7814","ASV7814","Kingella oralis"
"7815","ASV7815","Leptotrichia wadei"
"7816","ASV7816","Fusobacterium nucleatum subsp. nucleatum"
"7817","ASV7817","Scardovia wiggsiae"
"7818","ASV7818","Prevotella oris"
"7819","ASV7819","Fusobacterium sp. HMT 248"
"7820","ASV7820","Cardiobacterium hominis"
"7821","ASV7821","Dialister invisus"
"7822","ASV7822","Peptostreptococcaceae [XI][G-9] [Eubacterium] brachy"
"7823","ASV7823","Actinomyces sp. HMT 414"
"7824","ASV7824","Peptidiphaga sp. HMT 183"
"7825","ASV7825","Selenomonas sp. HMT 138"
"7826","ASV7826","Selenomonas sp. HMT 138"
"7827","ASV7827","Mycoplasma salivarium"
"7828","ASV7828","Prevotella sp. HMT 443"
"7829","ASV7829","Veillonella dispar"
"7830","ASV7830","Rothia aeria"
"7831","ASV7831","Prevotella nigrescens"
"7832","ASV7832","Streptococcus parasanguinis clade 411"
"7833","ASV7833","Campylobacter gracilis"
"7834","ASV7834","Treponema sp. HMT 231"
"7835","ASV7835","Selenomonas sputigena"
"7836","ASV7836","Megasphaera sp. HMT 841"
"7837","ASV7837","Lachnoanaerobaculum orale"
"7838","ASV7838","Leptotrichia sp. HMT 212"
"7839","ASV7839","Aggregatibacter paraphrophilus"
"7840","ASV7840","Saccharibacteria (TM7) [G-3] bacterium HMT 351"
"7841","ASV7841","Lautropia mirabilis"
"7842","ASV7842","Peptostreptococcaceae [XI][G-9] [Eubacterium] brachy"
"7843","ASV7843","Prevotella maculosa"
"7844","ASV7844","Bacteroidetes [G-5] bacterium HMT 507"
"7845","ASV7845","Prevotella oris"
"7846","ASV7846","Treponema sp. HMT 237"
"7847","ASV7847","Capnocytophaga sp. HMT 335"
"7848","ASV7848","Prevotella maculosa"
"7849","ASV7849","Oribacterium sp. HMT 078"
"7850","ASV7850","Leptotrichia hongkongensis"
"7851","ASV7851","Prevotella oris"
"7852","ASV7852","Serratia marcescens"
"7853","ASV7853","Prevotella veroralis"
"7854","ASV7854","Peptostreptococcus stomatis"
"7855","ASV7855","Dialister invisus"
"7856","ASV7856","Saccharibacteria (TM7) [G-1] bacterium HMT 488"
"7857","ASV7857","Treponema sp. HMT 257"
"7858","ASV7858","Gemella sanguinis"
"7859","ASV7859","Fusobacterium sp. HMT 203"
"7860","ASV7860","Ruminococcaceae [G-1] bacterium HMT 075"
"7861","ASV7861","Prevotella sp. HMT 317"
"7862","ASV7862","Actinomyces israelii"
"7863","ASV7863","Veillonella dispar"
"7864","ASV7864","Dialister invisus"
"7865","ASV7865","Dialister invisus"
"7866","ASV7866","Treponema sp. HMT 257"
"7867","ASV7867","Bacteroidales [G-2] bacterium HMT 274"
"7868","ASV7868","Prevotella sp. HMT 292"
"7869","ASV7869","Lachnospiraceae [G-7] bacterium HMT 163"
"7870","ASV7870","Leptotrichia buccalis"
"7871","ASV7871","Prevotella nigrescens"
"7872","ASV7872","Neisseria bacilliformis"
"7873","ASV7873","Prevotella oulorum"
"7874","ASV7874","Porphyromonas sp. HMT 278"
"7875","ASV7875","Prevotella nigrescens"
"7876","ASV7876","Absconditabacteria (SR1) [G-1] bacterium HMT 874"
"7877","ASV7877","Oribacterium sp. HMT 078"
"7878","ASV7878","Alloprevotella sp. HMT 473"
"7879","ASV7879","Propionibacterium acidifaciens"
"7880","ASV7880","Dialister invisus"
"7881","ASV7881","Shuttleworthia satelles"
"7882","ASV7882","Prevotella sp. HMT 300"
"7883","ASV7883","Oribacterium sp. HMT 078"
"7884","ASV7884","Prevotella saccharolytica"
"7885","ASV7885","Prevotella sp. HMT 317"
"7886","ASV7886","Treponema sp. HMT 238"
"7887","ASV7887","Shuttleworthia satelles"
"7888","ASV7888","Lachnospiraceae [G-3] bacterium HMT 100"
"7889","ASV7889","Fusobacterium nucleatum subsp. vincentii"
"7890","ASV7890","Dialister invisus"
"7891","ASV7891","Veillonella dispar"
"7892","ASV7892","Selenomonas flueggei"
"7893","ASV7893","Alloprevotella tannerae"
"7894","ASV7894","Gemella sanguinis"
"7895","ASV7895","Prevotella maculosa"
"7896","ASV7896","Prevotella sp. HMT 292"
"7897","ASV7897","Prevotella saccharolytica"
"7898","ASV7898","Selenomonas sputigena"
"7899","ASV7899","Lachnoanaerobaculum orale"
"7900","ASV7900","Streptococcus sp. HMT 074"
"7901","ASV7901","Streptococcus intermedius"
"7902","ASV7902","Alloprevotella sp. HMT 913"
"7903","ASV7903","Prevotella sp. HMT 306"
"7904","ASV7904","Capnocytophaga ochracea"
"7905","ASV7905","Actinomyces sp. HMT 448"
"7906","ASV7906","Neisseria flava"
"7907","ASV7907","Neisseria elongata"
"7908","ASV7908","Alloprevotella tannerae"
"7909","ASV7909","Leptotrichia sp. HMT 219"
"7910","ASV7910","Oribacterium sinus"
"7911","ASV7911","Mogibacterium vescum"
"7912","ASV7912","Lachnoanaerobaculum umeaense"
"7913","ASV7913","Ottowia sp. HMT 894"
"7914","ASV7914","Prevotella buccalis"
"7915","ASV7915","Prevotella sp. HMT 313"
"7916","ASV7916","Johnsonella sp. HMT 166"
"7917","ASV7917","Prevotella shahii"
"7918","ASV7918","Prevotella nanceiensis"
"7919","ASV7919","Megasphaera micronuciformis"
"7920","ASV7920","Prevotella melaninogenica"
"7921","ASV7921","Prevotella histicola"
"7922","ASV7922","Leptotrichia sp. HMT 221"
"7923","ASV7923","Klebsiella pneumoniae"
"7924","ASV7924","Solobacterium moorei"
"7925","ASV7925","Saccharibacteria (TM7) [G-3] bacterium HMT 351"
"7926","ASV7926","Aggregatibacter sp. HMT 512"
"7927","ASV7927","Abiotrophia defectiva"
"7928","ASV7928","Bulleidia extructa"
"7929","ASV7929","Bifidobacterium longum"
"7930","ASV7930","Veillonella dispar"
"7931","ASV7931","Stomatobaculum longum"
"7932","ASV7932","Schaalia lingnae [Not Validly Published]"
"7933","ASV7933","Alloprevotella sp. HMT 308"
"7934","ASV7934","Lachnoanaerobaculum umeaense"
"7935","ASV7935","Lachnospiraceae [G-2] bacterium HMT 096"
"7936","ASV7936","Leptotrichia sp. HMT 417"
"7937","ASV7937","Tannerella sp. HMT 808"
"7938","ASV7938","Alloprevotella sp. HMT 914"
"7939","ASV7939","Fusobacterium periodonticum"
"7940","ASV7940","Veillonella dispar"
"7941","ASV7941","Peptostreptococcus stomatis"
"7942","ASV7942","Alloprevotella sp. HMT 914"
"7943","ASV7943","Prevotella pallens"
"7944","ASV7944","Lactobacillus oris"
"7945","ASV7945","Leptotrichia sp. HMT 417"
"7946","ASV7946","Fusobacterium nucleatum subsp. animalis"
"7947","ASV7947","Veillonella dispar"
"7948","ASV7948","Prevotella scopos"
"7949","ASV7949","Veillonella dispar"
"7950","ASV7950","Alloprevotella rava"
"7951","ASV7951","Prevotella pallens"
"7952","ASV7952","Alloprevotella rava"
"7953","ASV7953","Veillonella parvula"
"7954","ASV7954","Lachnoanaerobaculum orale"
"7955","ASV7955","Fusobacterium nucleatum subsp. animalis"
"7956","ASV7956","Lachnoanaerobaculum orale"
"7957","ASV7957","Catonella morbi"
"7958","ASV7958","Prevotella scopos"
"7959","ASV7959","Streptococcus oralis subsp. dentisani clade 058"
"7960","ASV7960","Rothia mucilaginosa"
"7961","ASV7961","Rothia mucilaginosa"
